Submit datetime, Solver type, Nodes type, #CPUs, Queue type, Input, #Threads, Sort, Real time
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 20, , 41.085
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 20, , 46.478
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 20, , 53.545
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 20, , 39.934
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 20, , 96.963
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 20, , 61.133
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 20, , 65.169
04/30/2022 10:58, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 20, , 105.161
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 20, , 43.378
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 20, , 25.924
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 20, , 38.002
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 20, , 64.721
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 20, , 64.143
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 20, , 77.683
